"day_of_week","mean_births"
"Sun",7635.36952554744
"Mon",11606.7281021898
"Tues",12841.802919708
"Wed",12620.875
"Thurs",12551.800913242
"Fri",12349.2356164384
"Sat",8621.96076642336
