"date_of_month","mean_births"
20,12064.4761904762
21,11726.7142857143
22,11432.2857142857
23,10383.380952381
24,8103.14285714286
25,6601.33333333333
26,9598.90476190476
27,11724.4761904762
28,11901
29,12003.9047619048
30,11932.2380952381
31,10433.380952381
