RegionName,date,rent_growth_since_2020,home_value_growth_since_2020,growth_gap
"Miami, FL",2026-04-30,54.119202975220674,54.93317113532984,0.8139681601091695
United States,2026-04-30,37.68207141897997,46.97937844492131,9.297307025941336
"Phoenix, AZ",2026-04-30,36.30658220880696,49.60903203041249,13.302449821605535
"New York, NY",2026-04-30,35.59847499728903,42.47402431023471,6.8755493129456795
"Boston, MA",2026-04-30,30.845912273317367,46.19446108634202,15.34854881302465
"Denver, CO",2026-04-30,20.476074510673925,29.369453997602903,8.893379486928978
"San Francisco, CA",2026-04-30,16.360209059810813,20.562936811262915,4.202727751452102
"Austin, TX",2026-04-30,14.836271599835243,28.298545485054376,13.462273885219133
